sale_id,confidence,sale_name,sale_email,sale_phone,boom_name,boom_email,boom_phone
ft_sal_001800,0.9,NICOLÁS HERNÁNDEZ,nicolas.hernandez75@gmail.com,,Nicolás Hernández,nicolas.hernandez75@gmail.com,3213361186
ft_sal_001838,1,Andrea Céspedes,andrea.cespedes+boletas@gmail.com,305 675 5128,Andrea Céspedes,andrea.cespedes@gmail.com,3056755128
ft_sal_001942,1,Óscar Valencia Arango,oscar.valencia@gmail.com,+57 320 6269767,Óscar Valencia,oscar.valencia@gmail.com,3206269767
ft_sal_002008,0.9,Juliana Quintero,juliana.quintero@gmail.com,(+57) 318-337-9746,Juliana Quintero,juliana.quintero@gmail.com,3043816345
ft_sal_002222,1,Felipe López,felipe.lopez826@gmial.com,(+57) 310-955-7531,Felipe López,felipe.lopez826@gmail.com,3109557531
ft_sal_002242,1,Cristian Ortiz Ortiz,cristian.ortiz@icloud.com,302 995 5321,Cristian Ortiz,cristian.ortiz@icloud.com,3029955321
ft_sal_002429,1,Miguel Guerrero,miguel.guerrero@yahoo.com,3128731683,Miguel Guerrero,miguel.guerrero@yahoo.com,3128731683
ft_sal_002555,1,María Castro,maria.castro348@gmail.com,3072644470,María Castro,maria.castro348@gmail.com,3072644470
ft_sal_002593,1,Felipe Arango Cárdenas,felipe.arango224+compras@gmail.com,3280486602,Felipe Arango,felipe.arango224@gmail.com,3280486602
ft_sal_002607,1,Alejandro Guerrero,alejandro.guerrero55@gmail.com,3063645170,Alejandro Guerrero,alejandro.guerrero55@gmail.com,3063645170
ft_sal_002823,1,Nicolás Mejía,nicolas.mejia@gmail.com,573189351464,Nicolás Mejía,nicolas.mejia@gmail.com,3189351464
ft_sal_002827,0.9,Felipe Quintero,felipe.quintero69@yahoo.com,573284733251,Felipe Quintero,felipe.quintero69@yahoo.com,3250585238
ft_sal_003043,1,Juan Zapata,juan.zapata@outlook.com,301 460 7898,Juan Zapata,juan.zapata@outlook.com,3014670898
